"Provincia","Canton","SquareMetersConstruction","SquareMetersTerrain","Price"
"San José","San José",83,0,186500
"San José","San José",94,94,175450
"San José","San José",55,70,135000
"Guanacaste","Carrillo",140,922,148200
"San José","Montes de Oca",120,200,115000
"Heredia","Heredia",77,77,90250
"San José","Montes de Oca",80,1200,120000
"San José","Goicoechea",320,230,275000
"Puntarenas","Garabito",0,0,62000
"San José","Escazú",356,0,325000
"San José","San José",82,0,199000
"Alajuela","Alajuela",86,0,97000
"San José","Escazú",91,0,119900
"San José","Escazú",100,100,140000
"San José","Curridabat",79.44,0,124500
"San José","Curridabat",95.42,0,158500
"San José","Curridabat",79.44,0,124500
"San José","San José",65,0,125000
"Alajuela","Alajuela",150,150,114000
"San José","San José",56,56,75000
"San José","San José",0,0,125000
"San José","San José",94,94,116000
"San José","San José",134,134,170000
"Puntarenas","Garabito",110,135,249500
"San José","San José",0,0,185000
"Heredia","Heredia",60,0,117000
"San José","San José",55,70,105000
"San José","San José",115,115,88600
"San José","San José",0,1200,360000
"San José","Santa Ana",130,130,220000
"San José","San José",401.4,0,1050000
"Cartago","Cartago",0,120,75000
"San José","San José",96,80,139000
"San José","San José",0,0,140000
"San José","Desamparados",68,0,115000
"Heredia","San Pablo",170,210,136800
"San José","Moravia",42,1000,72000
"San José","San José",500,500,1500
"San José","Escazú",105,105,165000
"San José","Escazú",575,575,201300
"Alajuela","Alajuela",95,95,125000
"San José","San José",96,0,142500
"San José","San José",96,0,139000
"Alajuela","Alajuela",66,0,105000
"Alajuela","Alajuela",66,0,105000
"San José","San José",300,0,1500
"Heredia","San Rafael",300,296,180000
"Heredia","Heredia",500,200,NA
"Heredia","Heredia",77,77,94050
"Heredia","Heredia",67,67,90250
"Guanacaste","Carrillo",66,72,62280.252
"San José","Curridabat",60,60,66000
"San José","Curridabat",60,60,75000
"Guanacaste","Carrillo",1632,701,729210.899
"San José","Santa Ana",70,0,165000
"San José","Santa Ana",77,0,130000
"Heredia","Belén",500,350,550000
"San José","San José",120,90,140000
"San José","Desamparados",80,80,112000
"Heredia","Belén",0,0,160000
"San José","San José",0,0,2e+05
"San José","Escazú",167,0,295000
"Alajuela","Alajuela",92,122,135000
"Heredia","San Pablo",160,210,144400
"San José","Santa Ana",90,9,158500
"Alajuela","Alajuela",610,675,6e+05
"San José","San José",70,85,219000
"Heredia","Heredia",160,160,235000
"San José","Santa Ana",93,0,111000
"San José","San José",105,0,190000
"Heredia","San Rafael",103,131,2e+05
"San José","Vásquez de Coronado",120,0,126000
"San José","San José",500,663,350000
"San José","Montes de Oca",0,0,125000
"San José","San José",70,70,92000
"Alajuela","Alajuela",50,50,60800
"Heredia","Barva",270,200,256500
"San José","Santa Ana",100,10300,2500000
"San José","Escazú",91,0,119900
"San José","Escazú",135,0,237000
"San José","Escazú",220,0,340000
"San José","Escazú",169,0,370000
"Alajuela","Alajuela",94,94,108000
"Cartago","La Unión",80,80,117000
"Heredia","Santo Domingo",70,0,522.5
"San José","Escazú",309,0,350000
"San José","Curridabat",0,0,180000
"San José","Curridabat",98,98,113000
"San José","Vásquez de Coronado",0,0,380
"San José","Desamparados",54,54,51300
"San José","Santa Ana",112,112,158000
"San José","Santa Ana",65,0,125000
"Alajuela","Alajuela",87,88,106400
"San José","Escazú",100,100,1e+05
"San José","Montes de Oca",86,70,130000
"San José","Escazú",46,0,130000
"San José","Curridabat",97,97,185000
"San José","San José",170,0,499000
"San José","Escazú",84,0,135000
"San José","Escazú",90,0,140000
"San José","San José",90,0,170000
"Heredia","San Pablo",77,0,117000
"Cartago","La Unión",115,0,145000
"Heredia","Barva",450,320,375000
"San José","Santa Ana",0,118,185000
"San José","Escazú",91,0,119900
"San José","San José",88,0,135000
"San José","Curridabat",270,0,199500
"Heredia","Barva",220,180,228000
"San José","San José",0,0,135000
"San José","Escazú",136,136,250000
"San José","Alajuelita",180,117,94050
"Heredia","Santa Bárbara",0,0,180500
"Heredia","San Pablo",0,0,120000
"San José","San José",0,0,450000
"San José","San José",92,0,138
"San José","Curridabat",126,160,135000
"Heredia","Heredia",0,0,NA
"Heredia","Heredia",0,0,112000
"Heredia","Heredia",500,200,NA
"San José","Escazú",91,0,119900
"San José","Montes de Oca",75,54,79800
"San José","Escazú",140,0,237000
"San José","San José",90,0,700
"San José","Desamparados",46,0,60800
"San José","Escazú",120,100,110000
"Heredia","Heredia",78,0,82000
"San José","San José",101,108,225000
"San José","Montes de Oca",540,296,247000
"San José","Escazú",280,280,475000
"San José","San José",0,0,165000
"San José","Curridabat",100,0,205000
"San José","Montes de Oca",117,130,120000
"San José","Desamparados",0,0,85500
"Alajuela","Alajuela",89,117,115000
"Alajuela","Alajuela",89,117,115000
"Alajuela","Alajuela",89,117,115000
"San José","Santa Ana",60,80,130000
"San José","Escazú",91,0,119900
"Heredia","Heredia",105,0,108300
"San José","Moravia",575,1007,304000
"San José","Montes de Oca",120,0,185000
"San José","Montes de Oca",70,0,125000
"Puntarenas","Garabito",500,745,350000
"Heredia","Belén",60,0,110000
"Heredia","Belén",75,115,145000
"San José","Escazú",0,80,168000
"San José","San José",97,0,165000
"Heredia","San Rafael",300,296,180000
"Guanacaste","Nicoya",109,109,150100
"San José","Escazú",91,0,119900
"San José","San José",160,0,180000
"San José","Montes de Oca",220,360,259000
"San José","Escazú",201,0,280000
"San José","Santa Ana",0,0,150000
"Heredia","Heredia",0,0,112000
"Heredia","Belén",0,0,2e+05
"Heredia","Heredia",43.75,0,113000
"Heredia","Heredia",43.75,0,113000
"San José","Escazú",180,0,295000
"Guanacaste","Santa Cruz",0,0,269000
"San José","Escazú",200,0,280000
"San José","San José",126,0,289000
"San José","San José",310,310,360000
"San José","San José",0,95,165000
"Heredia","Barva",220,180,228000
"San José","Escazú",284,0,258000
"San José","San José",194,0,3e+05
"San José","Curridabat",0,0,115000
"San José","Curridabat",0,0,115000
"San José","Montes de Oca",0,0,140000
"San José","Curridabat",0,0,1e+05
"San José","San José",115,94,91200
"San José","Escazú",91,0,119900
"Cartago","La Unión",115,0,145000
"San José","San José",217,0,280000
"Heredia","Heredia",0,0,88000
"Heredia","San Pablo",0,0,117000
"Puntarenas","Puntarenas",131,272,37806.884
"San José","Montes de Oca",84,0,123000
"San José","Escazú",300,300,380000
"San José","San José",61,61,72000
"San José","Montes de Oca",135,135,160000
"San José","Montes de Oca",70,70,125000
"San José","Santa Ana",77,100,112000
"Guanacaste","Carrillo",90,600,35000
"San José","Santa Ana",72,730,102000
"Puntarenas","Garabito",0,0,69000
"Heredia","Barva",112,171.5,106210
"Cartago","Cartago",75,121,72200
"Heredia","San Isidro",344,2824,370000
"Heredia","San Pablo",168,178,190000
"Alajuela","Alajuela",124,236,173300
"San José","Vásquez de Coronado",1200,4218,1200000
"Alajuela","Alajuela",160,160,159600
"Guanacaste","Liberia",130,402,95000
"Heredia","San Pablo",143,152,125000
"San José","Escazú",260,185,230000
"Alajuela","Alajuela",193,200,182385
"San José","San José",420,290,395000
"Alajuela","Alajuela",150,170.2,182000
"Alajuela","Alajuela",150,170.2,182000
"Cartago","Cartago",194,214,190000
"San José","Tibás",140,0,125000
"Heredia","Heredia",152,152,110200
"San José","Curridabat",230,168,185000
"San José","San José",181,181,85500
"San José","Montes de Oca",155,114,165000
"San José","Desamparados",55,60,47500
"Cartago","La Unión",175,282,210000
"Cartago","La Unión",250,154,198500
"Alajuela","Alajuela",141,200,91500
"Alajuela","Alajuela",107,200,91000
"Alajuela","Alajuela",137,200,147000
"Alajuela","Alajuela",137,140,140000
"Alajuela","Alajuela",137,160,141000
"San José","Escazú",350,626,380000
"San José","Desamparados",120,120,161500
"San José","Curridabat",130,130,110000
"San José","San José",90,100,99000
"Alajuela","Alajuela",70,200,87000
"Alajuela","Atenas",240,2015,355000
"San José","San José",173,240,170000
"Heredia","San Pablo",200,312.5,325000
"San José","Escazú",240,300,360000
"San José","Escazú",247,4000,895000
"Alajuela","Naranjo",0,693,75000
"San José","Tibás",250,275,215000
"San José","Escazú",187,166,230000
"Alajuela","Alajuela",137,200,165000
"Cartago","La Unión",190,574,180500
"Heredia","San Isidro",160,1598,175000
"Heredia","Santo Domingo",235,225,161500
"Cartago","El Guarco",130,160,132000
"San José","Tibás",135,130,119000
"San José","Desamparados",180,200,112100
"Heredia","Heredia",120,192,136000
"Heredia","San Rafael",168,135,155000
"Heredia","Heredia",145,157,132000
"Cartago","Oreamuno",85,154.88,79800
"Cartago","Cartago",75,121,66500
"San José","San José",300,700,298000
"San José","Vásquez de Coronado",110,140,85500
"Heredia","Heredia",120,130,85500
"Heredia","San Isidro",164,344,2e+05
"Heredia","Heredia",155,155,148200
"Alajuela","Atenas",330,1077,275000
"Cartago","Cartago",117.15,237.75,NA
"San José","Escazú",260,300,360000
"San José","Escazú",300,400,360000
"Heredia","Heredia",130,166,0.1425
"San José","Curridabat",150,280,148000
"San José","Curridabat",187,250,178000
"Cartago","La Unión",250,154,198500
"Alajuela","Alajuela",170,161,165000
"Alajuela","Alajuela",275,267,247000
"San José","Moravia",200,1000,4e+05
"Cartago","Cartago",125,160,117800
"Alajuela","Grecia",180,228,150000
"San José","Santa Ana",320,700,629000
"San José","Santa Ana",330,528,529000
"San José","Santa Ana",188,0,275000
"Heredia","Heredia",175,175,150000
"Heredia","Belén",0,0,265
"San José","Curridabat",95.42,0,158500
"San José","Curridabat",79.44,0,124500
"Cartago","La Unión",290,1080,290000
"Alajuela","Alajuela",200,156,177000
"San José","Curridabat",288,234,330000
"Cartago","La Unión",480,1000,399000
"San José","Santa Ana",285,330,289900
"Heredia","San Rafael",242,600,209000
"Guanacaste","Tilarán",500,575,525000
"San José","Curridabat",200,300,230000
"San José","Goicoechea",237,180.5,151050
"Heredia","Santo Domingo",225,195,186200
"San José","Tibás",140,70,77900
"San José","Curridabat",295,325,175000
"Alajuela","Grecia",101,250,119600
"San José","Goicoechea",96,96,81700
"Heredia","San Pablo",100,160,129200
"Alajuela","Alajuela",130,187,119500
"San José","Aserrí",300,727,175000
"San José","Escazú",160,427,89000
"San José","Alajuelita",75,123,35150
"San José","San José",450,355,275000
"Cartago","La Unión",198,198,117800
"San José","Desamparados",132,132,129200
"Heredia","Heredia",175,164,165500
"San José","Goicoechea",145,100,138000
"Cartago","La Unión",170,180,153900
"Cartago","La Unión",145,100,152000
"Heredia","Heredia",137,137,105000
"Heredia","Belén",250,250,299000
"Alajuela","Alajuela",150,240,123500
"San José","Moravia",265,340,295000
"Alajuela","Alajuela",230,500,279000
"San José","Escazú",416,572,6e+05
"San José","Escazú",198,179.63,195000
"San José","San José",120,120,128000
"Cartago","La Unión",120,100,115000
"San José","Montes de Oca",332,332,239000
"San José","San José",325,600,450000
"San José","San José",160,175,NA
"San José","San José",150,700,114000
"Cartago","Paraíso",86,140,83600
"San José","San José",185,220,165000
"San José","Curridabat",550,340,288000
"San José","San José",272,156,NA
"San José","San José",287,325,250000
"San José","Curridabat",700,980,480000
"San José","Curridabat",147,300,3e+05
"San José","Curridabat",266,283,286000
"San José","Moravia",127,203,166500
"San José","San José",310,655,450000
"San José","San José",300,699,295000
"Cartago","Cartago",43,73.2,44650
"Cartago","Cartago",154,138,121600
"San José","Curridabat",250,355,2e+05
"Cartago","Cartago",160,138,180500
"San José","Escazú",370,400,360000
"San José","Escazú",240,300,360000
"San José","San José",120,80,58026
"Heredia","Santo Domingo",150,200,163400
"Heredia","Heredia",165,204.2,151500
"San José","Curridabat",250,350,332000
"San José","San José",98,126,128000
"Heredia","San Rafael",160,215,195000
"Heredia","Heredia",150,141,165000
"San José","Santa Ana",375,2000,487350
"San José","Escazú",157,299.91,148200
"Cartago","La Unión",161,186,153900
"San José","Tibás",119,119,112100
"San José","San José",280,300,285000
"San José","San José",262,262,161500
"San José","San José",140,140,125400
"San José","San José",243,243,203000
"Cartago","Cartago",0,122,96700
"San José","Escazú",350,2534,395000
"San José","Escazú",633,5400,6e+05
"San José","San José",355,322,250000
"San José","Curridabat",210,330,250000
"San José","Curridabat",270,305,235000
"San José","Curridabat",155,132,225000
"San José","Curridabat",150,324,250000
"San José","Curridabat",225,416,646
"San José","Vásquez de Coronado",177,149,142500
"San José","Desamparados",75,194.1,95000
"San José","Desamparados",137,185,129200
"San José","Escazú",350,400,395000
"San José","Desamparados",220,220,140600
"San José","Montes de Oca",153,268,142000
"San José","San José",89.72,44.86,52250
"San José","Escazú",260,400,335000
"San José","Escazú",230,177,240000
"Cartago","Cartago",122,0,96700
"San José","Montes de Oca",340,176,280000
"San José","Santa Ana",390,725,699000
"San José","Santa Ana",400,717,699000
"San José","Santa Ana",350,690,669000
"San José","Santa Ana",375,652,679000
"Cartago","El Guarco",141,0,114180
"Cartago","El Guarco",140,0,101290
"San José","Santa Ana",320,671,599000
"San José","Santa Ana",300,524,499000
"Cartago","El Guarco",239,239,163000
"San José","San José",180,295,155000
"Cartago","La Unión",220,207,180000
"San José","Curridabat",302,217,350000
"San José","Tibás",146,146,195000
"San José","San José",300,372,240000
"Cartago","Cartago",171,0,185000
"San José","Curridabat",129,129,NA
"San José","Moravia",0,0,250000
"San José","Montes de Oca",0,0,NA
"San José","Montes de Oca",0,0,NA
"Heredia","Santo Domingo",0,0,15000
"Heredia","San Isidro",350,346,240000
"Heredia","Heredia",137,216,131900
"Alajuela","Atenas",180,1050,133000
"Cartago","Cartago",165,210,152000
"San José","Santa Ana",340,1755,379900
"San José","San José",0,0,NA
"Puntarenas","Puntarenas",0,367,245000
"San José","San José",0,0,NA
"San José","San José",0,0,NA
"Guanacaste","Carrillo",65,181,76000
"Alajuela","Alajuela",0,0,138000
"Cartago","La Unión",280,700,350000
"Heredia","Heredia",315,315,310000
"Cartago","La Unión",166,166,152000
"Cartago","Cartago",96,96,49400
"Heredia","Barva",140,160,136800
"Alajuela","Alajuela",0,250,NA
"Heredia","Heredia",129,139.63,150000
"Alajuela","Atenas",85,252,120000
"San José","San José",0,0,NA
"San José","San José",0,0,NA
"Puntarenas","Garabito",110,250,145000
"San José","San José",0,0,57000
"San José","San José",0,0,NA
"Guanacaste","Liberia",250,300,167200
"Limón","Talamanca",240,320,190000
"Guanacaste","Liberia",219,180,123740.54
"Alajuela","Alajuela",0,0,NA
"Alajuela","Alajuela",160,160,85500
"Heredia","San Isidro",385,1765,202000
"Heredia","San Isidro",503,4458,351000
"San José","Escazú",100,133,74100
"San José","Escazú",200,199,161500
"Heredia","Heredia",414,683,320000
"Heredia","Heredia",170,240,194000
"San José","Moravia",70,174,1e+05
"Guanacaste","Santa Cruz",90,150,62700
"Heredia","San Pablo",314,2271,311000
"Guanacaste","Tilarán",75,558,43700
"Alajuela","Alajuela",580,3500,8e+05
"Alajuela","Alajuela",417,417,218500
"Alajuela","Alajuela",150,198,119700
"Alajuela","Alajuela",230,241,199500
"Alajuela","Alajuela",175,240,133000
"Cartago","Oreamuno",135,150,105450
"Guanacaste","Cañas",192,212,69112.8724
"Guanacaste","Liberia",131,250,84319.2944
"San José","San José",150,233,175000
"Guanacaste","Liberia",200,250,57000
"San José","Escazú",180,0,195500
"Heredia","Heredia",0,200,205000
"San José","Escazú",247,450,365000
"San José","Escazú",300,450,450000
"San José","Escazú",300,350,350000
"San José","Santa Ana",150,350,235000
"San José","Santa Ana",450,650,650000
"San José","Montes de Oca",457,850,650000
"San José","Curridabat",300,468,270000
"San José","Curridabat",230,0,250000
"San José","Escazú",325,1600,525000
"Alajuela","San Ramón",190,190,70300
"Cartago","La Unión",195,204,170000
"San José","Moravia",280,200,220000
"San José","Curridabat",170,120,155000
"San José","Pérez Zeledón",0,0,1300000
"San José","Escazú",0,0,280000
"Cartago","La Unión",350,0,3e+05
"San José","Goicoechea",142,142,76000
"Guanacaste","Liberia",260,359,152000
"San José","San José",287,0,NA
"Alajuela","San Carlos",0,126,15200
"San José","Puriscal",60,13500,94050
"San José","San José",0,0,NA
"San José","Desamparados",2248,300,450000
"Guanacaste","Santa Cruz",199,199,190000
"Alajuela","San Ramón",150,2500,195000
"Guanacaste","Tilarán",140,160,57000
"San José","Curridabat",0,0,NA
"San José","San José",0,0,NA
"Guanacaste","Nicoya",160,173,76000
"San José","Vásquez de Coronado",0,0,85500
"Alajuela","Alajuela",170,0,190000
"Heredia","Barva",0,0,170000
"Heredia","Barva",0,0,165300
"Cartago","La Unión",140,201.36,218500
"Cartago","La Unión",125,160,125000
"Heredia","Santo Domingo",0,0,163400
"Heredia","San Pablo",0,0,139650
"Heredia","Heredia",0,0,172900
"Heredia","Heredia",0,0,133000
"Heredia","San Isidro",600,12112,1500000
"Heredia","Heredia",0,120,127000
"Alajuela","San Carlos",95,294,72200
"Cartago","La Unión",164,177,137000
"Heredia","Barva",0,0,139650
"San José","Montes de Oca",200,227,230000
"San José","San José",0,0,NA
"Alajuela","Alajuela",0,160,135000
"San José","San José",480,550,6e+05
"Heredia","San Pablo",300,211,210000
"Alajuela","Atenas",650,7000,7e+05
"Heredia","Heredia",230,360,350000
"Heredia","Heredia",137,110,140000
"Alajuela","San Carlos",185,327,120000
"San José","San José",544,400,365000
"Heredia","Heredia",132,148,148500
"Puntarenas","Puntarenas",155,380,67096.6285
"San José","Vásquez de Coronado",246,202,149935.1123
"San José","Montes de Oca",156,207,173434.1318
"Heredia","Heredia",170,195,215000
"San José","Aserrí",165,152,95000
"San José","Curridabat",140,140,115000
"San José","Vásquez de Coronado",0,211,89300
"San José","Desamparados",120,120,NA
"Alajuela","Alajuela",396,2141,295000
"Puntarenas","Garabito",50,208,38000
"Puntarenas","Puntarenas",108,122,39900
"Cartago","Oreamuno",0,0,47500
"San José","Curridabat",0,0,174800
"Cartago","La Unión",200,200,102600
"San José","Santa Ana",340,340,329000
"San José","Escazú",200,160,161500
"San José","Aserrí",150,165,85500
"Heredia","San Isidro",200,686,152000
"San José","Alajuelita",130,100,121600
"Alajuela","Grecia",192,284,179500
"Heredia","Barva",216,454,220000
"San José","Desamparados",280,300,171000
"Heredia","Santo Domingo",0,140,NA
"Cartago","La Unión",250,243,295000
"San José","Curridabat",250,243,295000
"Cartago","Cartago",170,221,148200
"Cartago","Cartago",150,184,85500
"Alajuela","Atenas",387,8473,249000
"Alajuela","San Ramón",297,2263,145000
"Heredia","Heredia",190,210,210000
"Heredia","Santa Bárbara",0,0,79800
"Puntarenas","Montes de Oro",160,10549,5e+05
"Cartago","Cartago",158,201,145000
"Guanacaste","Liberia",360,1000,390000
"San José","Curridabat",270,216,270000
"Alajuela","Alajuela",339,426,149000
"San José","San José",72,72,98000
"Alajuela","Grecia",231,13532,107000
"Cartago","Turrialba",114,158.76,34200
"San José","Escazú",300,350,650000
"San José","Escazú",350,650,650000
"San José","Montes de Oca",286,620,285000
"San José","Santa Ana",450,650,650000
"San José","Santa Ana",450,650,650000
"San José","San José",300,0,250000
"Heredia","Santo Domingo",217,522,289000
"Heredia","Heredia",200,339,209000
"Cartago","Cartago",160,160,100700
"Heredia","Barva",220,250,161500
"San José","Curridabat",204,144,186200
"Heredia","Heredia",158,170,155000
"Guanacaste","Liberia",150,250,39900
"Cartago","La Unión",0,0,390000
"San José","San José",0,0,NA
"Alajuela","San Carlos",124,180,155000
"San José","San José",400,496,420000
"San José","San José",0,0,NA
"Cartago","La Unión",152,183,123500
"Cartago","La Unión",151,161,155000
"Heredia","Barva",144,150,76000
"San José","Escazú",320,850,430000
"Cartago","La Unión",0,0,NA
"San José","San José",170,181,130000
"Heredia","Heredia",0,0,161500
"Cartago","El Guarco",80,167,76000
"Cartago","El Guarco",80,167,76000
"San José","Goicoechea",365,549,254000
"San José","Santa Ana",302,744,204000
"San José","Santa Ana",375,4099,580000
"San José","Curridabat",0,202,236000
"San José","Goicoechea",258,4366,222000
"Alajuela","Atenas",400,7000,4e+05
"Alajuela","San Mateo",240,4522,247000
"Alajuela","Grecia",150,2050,142500
"Cartago","La Unión",200,200,102600
"San José","Escazú",200,160,161500
"San José","Moravia",205,0,175000
"San José","Aserrí",150,165,85500
"San José","Alajuelita",130,100,121600
"Heredia","Heredia",72,125,112000
"San José","Goicoechea",300,600,3e+05
"San José","Moravia",160,0,104500
"San José","Moravia",350,1197,5e+05
"San José","Goicoechea",200,122,150000
"Puntarenas","Esparza",44,120,32300
"Heredia","Heredia",0,0,313000
"Cartago","La Unión",100,125,66500
"Limón","Limón",90,365,60800
"Heredia","Heredia",180,233,152000
"Heredia","San Rafael",188,120,123500
"San José","San José",170,106,146300
"San José","Mora",440,468,418000
"San José","San José",700,1020,1350000
"San José","Moravia",286,168,209000
"San José","Vásquez de Coronado",144,0,105000
"Limón","Limón",0,0,85500
"San José","Santa Ana",275,536,NA
"San José","Curridabat",185,195,175000
"San José","Escazú",300,650,680000
"San José","Escazú",450,650,2500
"Heredia","Barva",450,14600,NA
"San José","Escazú",195,350,275000
"San José","San José",215,0,260000
"San José","Escazú",425,650,390000
"San José","Escazú",250,450,225000
"Alajuela","Alajuela",700,26435,1200000
"Heredia","Heredia",106,111,110000
"Heredia","Barva",240,180,133000
"Heredia","Belén",1246,200,490000
"Heredia","Flores",213,245,208000
"Heredia","Heredia",185,160,190000
"Alajuela","Alajuela",422,736,550000
"San José","Moravia",212,491,255000
"Heredia","Belén",150,120,110200
"Heredia","Heredia",85,191,108300
"San José","Santa Ana",600,1435,693000
"Heredia","Heredia",0,0,NA
"Heredia","Heredia",0,0,NA
"San José","Desamparados",140,140,142500
"San José","San José",150,0,130000
"Heredia","San Pablo",111,165,98800
"San José","Escazú",347,0,385000
"San José","Escazú",250,0,230000
"San José","San José",545,0,NA
"Heredia","Santo Domingo",200,498,123500
"San José","Escazú",200,160,161500
"Heredia","Heredia",110,118,130000
"Cartago","Cartago",0,0,NA
"Cartago","Cartago",0,0,NA
"Alajuela","Atenas",150,127,152000
"Alajuela","Alajuela",120,120,85500
"San José","Escazú",250,568,280000
"Alajuela","Atenas",206,355,170000
"Alajuela","Atenas",300,1500,350000
"Cartago","La Unión",158,224,199000
"Cartago","Cartago",46,120,48450
"Cartago","Cartago",100,160,60800
"San José","Moravia",140,145,129200
"San José","San José",200,791,123500
"San José","Moravia",250,350,190000
"Heredia","Flores",400,281,325000
"San José","San José",129,157,2e+05
"Cartago","La Unión",160,150,150000
"Guanacaste","Carrillo",222,240,284422.9757
"Puntarenas","Esparza",200,400,95000
"Heredia","Heredia",163,163,114000
"Cartago","La Unión",160,160,102600
"Alajuela","Naranjo",320,1700,237500
"San José","Alajuelita",130,100,121600
"Cartago","La Unión",185,164,175000
"San José","San José",0,0,395000
"Alajuela","Alajuela",270,300,155800
"San José","Santa Ana",140,160,115000
"Cartago","Cartago",130,137,89300
"Heredia","Santa Bárbara",500,7765,1700000
"Heredia","Santa Bárbara",130,170,87400
"Cartago","Cartago",200,300,80000
"Cartago","Paraíso",160,200,104310
"Cartago","Cartago",158,201,145000
"San José","Vásquez de Coronado",160,480,180000
"Cartago","La Unión",130,320,85500
"San José","Pérez Zeledón",140,614,85348.3078
"San José","San José",357,269,255000
"San José","Desamparados",350,450,148200
"Heredia","Heredia",205,214,145000
"San José","Goicoechea",365,549,254600
"San José","Desamparados",120,120,121000
"San José","Santa Ana",302,744,204000
"San José","Montes de Oca",200,200,190000
"San José","San José",169,286,180000
"San José","Curridabat",80,0,72200
"San José","Curridabat",1500,2800,1160000
"San José","Santa Ana",450,450,779000
"Puntarenas","Puntarenas",250,7000,365000
"San José","Escazú",200,450,375000
"San José","Escazú",350,450,450000
"San José","Escazú",200,350,290000
"San José","Escazú",200,350,290000
"San José","Escazú",250,450,450000
"Heredia","Heredia",115,160,141000
"Heredia","Barva",270,420,360000
"Cartago","Cartago",87,133,67450
"San José","San José",600,1200,630000
"San José","San José",534,270,250000
"San José","San José",175,205,176000
"San José","Escazú",160,427,89000
"San José","San José",0,72,47500
"San José","San José",175,160,82650
"Cartago","La Unión",129,129,117800
"Heredia","San Rafael",0,0,114000
"San José","San José",0,0,NA
"Heredia","Sarapiquí",1044,1044,20900
"San José","San José",80,44,45600
"San José","San José",200,102,142500
"San José","San José",220,220,133000
"San José","Desamparados",150,150,66500
"San José","Desamparados",110,110,89300
"San José","Desamparados",110,143,64600
"San José","Vásquez de Coronado",180,214,133000
"San José","Curridabat",239,320,285000
"Cartago","La Unión",185,330,190000
"Heredia","Santo Domingo",200,245,160000
"Cartago","El Guarco",160,225,148200
"San José","Curridabat",120,125,91200
"Heredia","Flores",190,246,376.2
"Cartago","La Unión",160,160,102600
"San José","San José",0,0,NA
"San José","Santa Ana",325,379,NA
"San José","Desamparados",155,0,NA
"San José","Escazú",200,160,161500
"Heredia","Heredia",239,239,230000
"San José","Escazú",305,298,NA
"Puntarenas","Puntarenas",74,225,30400
"San José","San José",590,300,250000
"Cartago","La Unión",160,120,NA
"San José","San José",130,136,130000
"San José","Mora",185,216.2,195000
"Heredia","Heredia",122,182,NA
"San José","Tibás",280,171,280000
"Puntarenas","Garabito",150,150,115000
"San José","Moravia",250,467,4e+05
"San José","Mora",170,350,95000
"San José","Mora",200,300,228000
"Alajuela","Alajuela",0,0,NA
"Cartago","La Unión",129,129,118000
"San José","San José",170,100,76000
"Cartago","El Guarco",150,143,110200
"San José","Moravia",114.58,0,123500
"San José","Escazú",255,284,250000
"Cartago","La Unión",190,160,145000
"San José","Goicoechea",150,130,112100
"San José","Tibás",260,312,161500
"San José","Vásquez de Coronado",200,1251,435000
"Puntarenas","Puntarenas",536,4000,795000
"San José","Goicoechea",172,172,118750
"Heredia","San Rafael",400,620,450000
"San José","Tibás",0,0,NA
"Puntarenas","Esparza",125,5040,475000
"Puntarenas","Puntarenas",130,10200,133000
"Alajuela","San Carlos",167,280,170456.1706
"Puntarenas","Esparza",135,230,161500
"Puntarenas","Parrita",254,2656,87500
"Alajuela","Alajuela",230,300,152000
"San José","Escazú",140,250,219000
"Guanacaste","Tilarán",380,854,148000
"Alajuela","Alajuela",315,259,209000
"Alajuela","Alajuela",143,143,60800
"San José","Santa Ana",350,650,680000
"San José","Santa Ana",250,650,680000
"San José","Escazú",200,0,250000
"San José","Mora",250,520,265000
"San José","Escazú",200,350,290000
"San José","San José",500,850,450000
"San José","Santa Ana",500,1000,995000
"San José","Montes de Oca",140,120,165000
"San José","Curridabat",187,0,235000
"San José","Curridabat",750,1200,1e+06
"Heredia","Heredia",237,240,2e+05
"Heredia","Heredia",165,170,140000
"Heredia","Heredia",120,189,110000
"Alajuela","Alajuela",170,214,176200
"San José","Desamparados",0,383,290000
"San José","San José",600,400,237500
"San José","Curridabat",240,355,240000
"San José","Curridabat",259,300,180500
"San José","Curridabat",0,0,325000
"San José","Curridabat",400,1000,4e+05
"San José","Curridabat",400,1000,4e+05
"San José","Curridabat",320,159,190000
"Cartago","La Unión",90,90,85500
"Alajuela","Atenas",0,0,142500
"San José","Curridabat",170,140,165000
"Cartago","La Unión",315,236,315000
"San José","San José",0,815,275500
"Puntarenas","Osa",193,5294,175000
"San José","San José",0,230,273.6
"San José","Desamparados",213,351,152000
"San José","Mora",3000,44000,1300000
"Heredia","Barva",350,468,304000
"Heredia","San Rafael",202,1,275000
"Heredia","San Isidro",289,731,265000
"Alajuela","San Carlos",171,180,104500
"San José","Escazú",0,0,4e+05
"San José","Escazú",375,975,380000
"Puntarenas","Golfito",400,180000,6e+05
"Cartago","La Unión",265,925,250000
"Heredia","Heredia",2610,1923,2400000
"Cartago","La Unión",445,1834,799000
"San José","Mora",600,980,950000
"San José","Mora",865,7000,2e+06
"San José","Mora",120,0,137000
"San José","Montes de Oca",140,140,115000
"San José","Vásquez de Coronado",180,250,180500
"Alajuela","Atenas",700,10200,1200000
"San José","San José",400,432,285000
"Heredia","San Pablo",235,138,174800
"Heredia","San Rafael",700,3325,6e+05
"Heredia","San Rafael",260,860,684
"Alajuela","Alajuela",170,161,165300
